year,date,carrier,origin_city,destination,dep_delay,arr_delay,cancelled,diverted,air_time,distance
2017,2017/1/14,WN,New York,Chicago,0,5,NO,NO,131,725
2017,2017/1/14,WN,Chicago,New York,3,3,NO,NO,86,725
2017,2017/1/18,WN,New York,Atlanta,45,6,NO,NO,101,762
2017,2017/1/18,WN,Chicago,New York,9,9,NO,NO,103,725
2017,2017/1/22,WN,New York,Chicago,2,3,NO,NO,111,725
2017,2017/1/23,WN,New York,Houston,45,5,NO,NO,200,1428
2017,2017/1/1,AA,New York,Atlanta,-1,12,NO,NO,130,762
2017,2017/1/30,AA,New York,Atlanta,35,5,NO,NO,113,762
2017,2017/1/22,AA,Atlanta,New York,246,5,NO,NO,95,762
2017,2017/1/15,B6,New York,San Francisco,-3,6,NO,NO,359,2586
2017,2017/1/11,B6,San Francisco,New York,-2,4,NO,NO,280,2586
2017,2017/1/9,B6,New York,Los Angeles,2,28,NO,NO,365,2475
2017,2017/1/6,B6,Los Angeles,New York,-8,3,NO,NO,287,2475
2017,2017/1/31,B6,Los Angeles,New York,-20,6,NO,NO,294,2475
2017,2017/1/21,B6,New York,Chicago,34,6,NO,NO,124,740
2017,2017/1/13,B6,Boston,New York,-3,4,NO,NO,45,187
2017,2017/1/12,B6,New York,Boston,-5,6,NO,NO,38,187
2017,2017/1/22,B6,New York,Los Angeles,-8,4,NO,NO,363,2475
2017,2017/1/16,B6,Los Angeles,New York,-8,4,NO,NO,306,2475
2017,2017/1/5,B6,Rochester,New York,-9,4,NO,NO,52,264
2017,2017/1/30,B6,Rochester,New York,-5,9,NO,NO,52,264
2017,2017/1/3,B6,New York,Los Angeles,-7,12,NO,NO,375,2475
2017,2017/1/4,B6,Los Angeles,New York,26,5,NO,NO,275,2475
2017,2017/1/4,B6,New York,Boston,12,6,NO,NO,42,187
2017,2017/1/17,B6,Boston,New York,-14,9,NO,NO,36,184
2017,2017/1/20,B6,New York,Boston,-18,3,NO,NO,33,184
2017,2017/1/4,B6,Boston,New York,-6,6,NO,NO,46,184
2017,2017/1/2,B6,New York,Boston,-7,10,NO,NO,34,184
2017,2017/1/27,B6,New York,Boston,-5,8,NO,NO,36,184
2017,2017/1/15,B6,New York,Chicago,156,17,NO,NO,139,740
2017,2017/1/9,B6,Chicago,New York,70,10,NO,NO,103,740
2017,2017/1/3,B6,New York,San Francisco,197,8,NO,NO,378,2586
2017,2017/1/28,B6,New York,San Francisco,12,14,NO,NO,329,2586
2017,2017/1/1,B6,Boston,New York,-1,9,NO,NO,46,187
2017,2017/1/26,B6,Boston,New York,-8,13,NO,NO,51,187
2017,2017/1/22,B6,New York,Boston,-5,26,NO,NO,37,187
2017,2017/1/18,B6,Los Angeles,New York,-6,7,NO,NO,290,2475
2017,2017/1/23,B6,Chicago,New York,,,YES,NO,,740
2017,2017/1/7,B6,New York,Los Angeles,13,6,NO,NO,351,2475
2017,2017/1/1,B6,Los Angeles,New York,-11,6,NO,NO,272,2475
2017,2017/1/26,B6,Los Angeles,New York,0,4,NO,NO,286,2475
2017,2017/1/5,DL,Rochester,Atlanta,-10,3,NO,NO,115,749
2017,2017/1/6,DL,New York,Atlanta,1,8,NO,NO,133,762
2017,2017/1/6,DL,San Francisco,New York,-3,13,NO,NO,276,2586
